season,player_name,player_team,total_games_played,total_free_throws_attempts,total_free_throws_made,total_two_points_attempt,total_two_points_made,total_three_points_attempt,total_three_points_made,total_assists,total_steals,total_blocks,total_offensive_rebounds,total_defensive_rebounds,total_turnovers,total_points_scored,average_eFG,average_TS,average_PPS,average_offensive_contribution,average_defensive_contribution,average_rebound_percentage,average_playmaking_contribution,average_player_valuation_score
2024-2025,Joshua.K,kwetu,12,15.0,50.0,70.0,33.0,27.0,9.0,10.0,15.0,6.0,14.0,30.0,17.0,143.0,55.49,77.8288,1.6567,53.6589,117.6736,6.7215,0.6212,49.8171
2024-2025,Deuce.G,kwetu,9,11.0,7.0,15.0,20.0,6.0,2.0,15.0,16.0,1.0,5.0,35.0,26.0,53.0,136.0417,116.7307,3.3458,101.7781,125.5895,8.615,1.1833,69.8775
2024-2025,Collins.O,rangers,45,33.0,39.0,114.0,119.0,50.0,13.0,34.0,12.0,7.0,30.0,85.0,38.0,316.0,94.6772,98.908,2.183,78.8127,146.5045,5.508,0.3545,62.4537
2024-2025,Abraham.D,rangers,3,0.0,0.0,12.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,10.0,76.6667,76.6667,1.5333,61.64,193.5796,6.442,0.0,58.6485
2024-2025,Fredrick.O,rangers,20,16.0,6.0,9.0,6.0,80.0,19.0,21.0,8.0,23.0,7.0,101.0,24.0,75.0,49.2778,48.8821,1.0522,39.4744,148.7398,10.2502,0.4615,50.8934
2024-2025,Peter.T,kwetu,3,0.0,0.0,7.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,18.0,68.0556,68.0556,1.3611,54.7167,104.3135,1.2488,0.0,48.053
2024-2025,Mike.O,rangers,2,1.0,3.0,15.0,9.0,0.0,0.0,3.0,1.0,1.0,8.0,10.0,4.0,21.0,55.5556,64.7246,1.3334,48.3787,142.704,14.9879,0.75,75.155
2024-2025,Derrick.I,kwetu,5,4.0,5.0,17.0,11.0,1.0,0.0,1.0,0.0,0.0,7.0,8.0,5.0,27.0,53.3333,58.3992,1.34,44.961,138.0379,10.5683,0.3333,49.1144
2024-2025,Jayson.M,kwetu,18,19.0,29.0,46.0,47.0,8.0,1.0,11.0,19.0,1.0,22.0,73.0,28.0,126.0,114.2997,131.7507,2.9346,99.0071,138.8034,10.1386,0.3667,70.2599
2024-2025,Robert.O,rangers,28,21.0,37.0,57.0,78.0,99.0,46.0,17.0,17.0,2.0,21.0,49.0,27.0,331.0,121.792,126.3775,2.7017,99.8082,136.1422,5.1122,0.4352,75.1139
2024-2025,Blaise.M,kwetu,10,4.0,6.0,18.0,12.0,3.0,0.0,2.0,0.0,1.0,6.0,16.0,9.0,30.0,55.2083,61.7568,1.3854,47.0631,134.7819,4.8281,0.2857,54.1881
2024-2025,Austin.M,kwetu,21,17.0,8.0,53.0,39.0,33.0,9.0,10.0,4.0,3.0,14.0,41.0,22.0,113.0,76.9048,76.3388,1.6573,61.6289,126.3852,4.9617,0.3833,49.7253
2024-2025,Maina.F,kwetu,2,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,88.6322,2.6786,,
2024-2025,Jude.K,kwetu,10,5.0,4.0,7.0,13.0,14.0,6.0,1.0,3.0,0.0,6.0,10.0,7.0,48.0,123.1481,125.1804,2.7685,99.8851,154.7915,3.7945,0.2,90.2559
2024-2025,Deng.A,rangers,12,7.0,5.0,19.0,22.0,3.0,1.0,4.0,5.0,8.0,21.0,18.0,10.0,52.0,118.9815,107.6316,2.7639,91.198,191.9681,5.8455,0.1429,92.679
2024-2025,Lee.K,kwetu,10,7.0,3.0,8.0,10.0,5.0,0.0,1.0,1.0,1.0,3.0,9.0,7.0,23.0,64.2857,60.0321,1.3929,50.373,132.2269,2.0767,0.2,57.8312
2024-2025,Murage,vikapu,2,1.0,1.0,2.0,3.0,4.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,7.0,75.0,71.7213,1.75,59.0385,120.4392,0.6757,0.0,29.2838
2024-2025,Freedom,vikapu,1,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,200.0,200.0,4.0,160.8,123.7432,4.0541,0.0,88.0266
