game_id,timestamp,player_name,player_team,free_throw_attempt,free_throw_made,two_points_attempt,two_points_made,three_points_attempt,three_points_made,assists,steals,blocks,offensive_rebounds,defensive_rebounds,turnovers,total_points_scored,eFG,TS,PPS,offensive_contribution,opponent_points,opponent_possessions,defensive_contribution,player_total_rebounds,game_total_rebounds,rebound_percentage,playmaking,player_valuation_score
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Joshua.K,kwetu,0.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,130.0,130.0,2.6,104.52,42.0,47.88,87.7193,4.0,51.0,7.8431,,
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Deuce.G,kwetu,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,5.0,4.0,inf,inf,inf,inf,42.0,47.88,87.7193,8.0,51.0,15.6863,0.4,inf
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Collins.O,rangers,1.0,0.0,7.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,14.0,63.6364,61.1888,1.2727,50.1846,65.0,32.879999999999995,197.6886,2.0,51.0,3.9216,0.0,67.7711
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Abraham.D,rangers,0.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,30.0,30.0,0.6,24.12,65.0,32.879999999999995,197.6886,2.0,51.0,3.9216,0.0,58.6485
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Fredrick.O,rangers,0.0,0.0,1.0,2.0,8.0,1.0,0.0,0.0,1.0,2.0,5.0,2.0,7.0,38.8889,38.8889,0.7778,31.2667,65.0,32.879999999999995,197.6886,7.0,51.0,13.7255,0.0,63.1106
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Peter.T,kwetu,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,66.6667,66.6667,1.3333,53.6,42.0,47.88,87.7193,1.0,51.0,1.9608,0.0,41.082
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Mike.O,rangers,1.0,1.0,9.0,7.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,4.0,15.0,77.7778,79.4492,1.6667,63.2241,65.0,32.879999999999995,197.6886,9.0,51.0,17.6471,0.75,75.155
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Derrick.I,kwetu,1.0,1.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,15.0,116.6667,116.4596,2.5,93.7505,42.0,47.88,87.7193,5.0,51.0,9.8039,1.0,56.8033
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Jayson.M,kwetu,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,4.0,9.0,450.0,450.0,9.0,361.8,42.0,47.88,87.7193,7.0,51.0,13.7255,0.0,151.3049
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Robert.O,rangers,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,65.0,32.879999999999995,197.6886,1.0,51.0,1.9608,0.0,49.8143
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Blaise.M,kwetu,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.4918,0.5,8.2967,42.0,47.88,87.7193,1.0,51.0,1.9608,,
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Austin.M,kwetu,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,47.88,87.7193,2.0,51.0,3.9216,0.0,22.7141
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Maina.F,kwetu,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,inf,inf,inf,inf,42.0,47.88,87.7193,0.0,51.0,0.0,,
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Jude.K,kwetu,0.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,13.0,216.6667,216.6667,4.3333,174.2,42.0,47.88,87.7193,2.0,51.0,3.9216,0.0,83.6841
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Deng.A,rangers,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,32.879999999999995,197.6886,0.0,51.0,0.0,,
7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z,Lee.K,kwetu,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,inf,inf,inf,inf,42.0,47.88,87.7193,0.0,51.0,0.0,,
61fd3fb6-3e69-4cc3-8ac5-c1e68387743f,2024-10-12T05:16:43.328Z,Murage,vikapu,1.0,1.0,2.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,7.0,150.0,143.4426,3.5,118.077,64.0,51.72,123.7432,1.0,74.0,1.3514,inf,inf
61fd3fb6-3e69-4cc3-8ac5-c1e68387743f,2024-10-12T05:16:43.328Z,Freedom,vikapu,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,200.0,200.0,4.0,160.8,64.0,51.72,123.7432,3.0,74.0,4.0541,0.0,88.0266
61fd3fb6-3e69-4cc3-8ac5-c1e68387743f,2024-10-12T05:16:43.328Z,Harvey,vikapu,7.0,3.0,6.0,5.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,13.0,83.3333,71.5859,2.1667,62.401,64.0,51.72,123.7432,7.0,74.0,9.4595,inf,inf
61fd3fb6-3e69-4cc3-8ac5-c1e68387743f,2024-10-12T05:16:43.328Z,Jerry,e nets,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,8.0,87.5,75.188,2.0,65.4752,80.0,57.16,139.958,1.0,74.0,1.3514,1.0,58.2761
61fd3fb6-3e69-4cc3-8ac5-c1e68387743f,2024-10-12T05:16:43.328Z,Trevor,vikapu,0.0,2.0,6.0,2.0,10.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0,15.0,40.625,46.875,0.9375,35.1875,64.0,51.72,123.7432,4.0,74.0,5.4054,2.0,44.5325
61fd3fb6-3e69-4cc3-8ac5-c1e68387743f,2024-10-12T05:16:43.328Z,Daniel,e nets,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,62.5,56.3063,1.25,47.7725,80.0,57.16,139.958,2.0,74.0,2.7027,0.0,52.2504
61fd3fb6-3e69-4cc3-8ac5-c1e68387743f,2024-10-12T05:16:43.328Z,Michael,e nets,4.0,2.0,10.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,3.0,10.0,36.3636,39.185,0.9091,30.4013,80.0,57.16,139.958,9.0,74.0,12.1622,0.0,48.0624
