team,total_free_throw_attempts,total_free_throw_made,total_two_point_attempts,total_two_point_made,total_three_point_made,total_three_point_attempts,total_assists,total_offensive_rebounds,total_defensive_rebounds,total_turnovers,total_points,game_id,timestamp
kwetu,2.0,2.0,17.0,24.0,5.0,6.0,3.0,5.0,25.0,14.0,65.0,7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z
rangers,2.0,1.0,29.0,19.0,1.0,16.0,3.0,9.0,12.0,11.0,42.0,7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z
e nets,13.0,16.0,33.0,18.0,4.0,7.0,6.0,10.0,24.0,16.0,64.0,61fd3fb6-3e69-4cc3-8ac5-c1e68387743f,2024-10-12T05:16:43.328Z
vikapu,14.0,15.0,36.0,22.0,7.0,21.0,10.0,19.0,21.0,13.0,80.0,61fd3fb6-3e69-4cc3-8ac5-c1e68387743f,2024-10-12T05:16:43.328Z
junubin,8.0,12.0,28.0,16.0,2.0,10.0,5.0,13.0,32.0,26.0,50.0,71db8867-d325-4c57-a606-e0cde8f5d5dd,2024-03-31T13:25:23.564Z
saints,15.0,12.0,41.0,15.0,2.0,16.0,4.0,15.0,18.0,16.0,48.0,71db8867-d325-4c57-a606-e0cde8f5d5dd,2024-03-31T13:25:23.564Z
fam kenya,18.0,6.0,16.0,27.0,5.0,19.0,3.0,17.0,16.0,8.0,75.0,b0110d7e-c639-4177-9852-83bf918cf050,2024-03-23T14:27:52.076Z
feba,10.0,6.0,16.0,20.0,6.0,15.0,3.0,11.0,20.0,15.0,64.0,b0110d7e-c639-4177-9852-83bf918cf050,2024-03-23T14:27:52.076Z
db nets,7.0,2.0,34.0,16.0,2.0,10.0,1.0,4.0,25.0,12.0,40.0,fc9a6fe4-2c10-4919-b753-8d84b1d795c6,2024-03-24T10:10:52.761Z
e nets,14.0,10.0,27.0,21.0,1.0,12.0,3.0,7.0,21.0,11.0,55.0,fc9a6fe4-2c10-4919-b753-8d84b1d795c6,2024-03-24T10:10:52.761Z
saints,8.0,5.0,21.0,15.0,5.0,12.0,1.0,8.0,12.0,7.0,50.0,cd0fc962-4fd1-4bd9-a1ff-8fe48968595c,2024-04-06T11:59:56.972Z
teffad,8.0,7.0,17.0,21.0,3.0,9.0,4.0,7.0,13.0,10.0,58.0,cd0fc962-4fd1-4bd9-a1ff-8fe48968595c,2024-04-06T11:59:56.972Z
clique m,14.0,28.0,40.0,20.0,3.0,17.0,9.0,19.0,25.0,18.0,77.0,22f4f204-27c0-41b9-b640-7e6e30a6dea6,2024-03-31T15:05:28.691Z
feba,9.0,5.0,26.0,19.0,4.0,14.0,7.0,13.0,24.0,27.0,55.0,22f4f204-27c0-41b9-b640-7e6e30a6dea6,2024-03-31T15:05:28.691Z
sunrise kenya,5.0,5.0,30.0,12.0,1.0,17.0,2.0,6.0,26.0,15.0,32.0,bfe7dc35-6f9c-4471-b92e-6a8897090677,2024-03-24T15:04:17.634Z
twende,6.0,14.0,23.0,21.0,9.0,28.0,6.0,17.0,32.0,10.0,83.0,bfe7dc35-6f9c-4471-b92e-6a8897090677,2024-03-24T15:04:17.634Z
jericho nets,9.0,5.0,17.0,19.0,4.0,6.0,4.0,3.0,11.0,14.0,55.0,217cd89a-3485-45c5-9fbe-0ac19387340d,2024-05-26T08:28:41.857Z
