team,wins,losses
kwetu,12,13
rangers,15,10
vikapu,20,8
e nets,19,7
junubin,8,16
saints,14,10
feba,7,6
fam kenya,22,8
db nets,9,13
teffad,9,12
clique m,3,0
twende,26,0
sunrise kenya,0,2
jericho nets,4,13
phenoms,29,1
bantu,4,14
buruburu,11,14
kibra,18,12
savio,6,16
leos,1,20
huruma,3,6
moorewright,4,16
deementor,12,15
clique,3,1
jericho,0,4
,0,0
pride landers,5,15
huruma dragons,9,10
clique mambas,13,8
vikapu k,1,0
feba nation,4,7
advance,1,15
old guards,1,0
rising stars,0,1
eastlands conference,0,1
uptown confrence,1,0
